UserName,UserID,Likes,Followers
Gaber,gaber,32,61
Krutika,themermaidscale,368.5M,6.6M
TALLIA STORM,talliastorm,6.6M,313.2K
Wyntir Rose,wyntirose,12.2M,604.3K
Joe,joealbanese,712.1M,17.8M
Ayushmann Khurrana,ayushmannk,48K,16.4K
Gorillaz,gorillaz,576.6K,176.3K
Mabel,mabel,4.3M,522K
Brittany Xavier,brittanyxavier,57M,2.4M
Gordon Ramsay,gordonramsayofficial,6.9M,2.4M
Mayor of London,mayoroflondon,51.2K,13.1K
khomfai,khomfai,507K,5251
Gulshan Grover,gulshangrover,1.9M,459K
chancetherapper,chancetherapper,1.7M,894.9K
The McFarlands,themcfarlands,22.2M,1.1M
deekshakhurana,deekshakhurana_,448.4K,39.3K
Jonas Brothers,jonasbrothers,40.8M,5.8M
Atti Olh,attika__,34.6K,1052
PIB India,pib_india,5.5M,557.3K
user6772104020148,ashhkins,98.1K,11.6K
Neha Kakkar,nehakakkar,139.9M,16.7M
tommybracco,tommy_bracco,2M,136.5K
Kimberly Loaiza,kimberlyloaiza,446.2M,16.1M
Frankie Bridge,frankiebridge,504K,294.3K
Lewis Capaldi,lewiscapaldi,8.5M,2M
Katja Glieson,katjaglieson,205M,8.6M
Matt Lucas,realmattlucas,508K,246.1K
Steven Mckell,stevenmckell,47.4M,2.1M
Hailee Steinfeld Official,haileesteinfeld,1.8M,1.1M
The Weeknd,theweeknd,2.1M,1M
Mahogany LOX,mahoganylox,266.6M,6.6M
Christine Barger,christinebarger,14.9M,662.6K
Sejal Kumar,sejalkumar1195,114.9K,25.2K
Mda Israel,mdaisrael,2432,2534
Sharanya Iyer,trulynomadly,155.6K,43.1K
The Fresh family,benfresh_kayfresh,699.4K,35.4K
Perrin Hooper,persworld,15.5M,400.1K
Harfin Family,refelicity,66.2M,1.9M
roteskreuzat,austrian_red_cross,1M,84.4K
Mabel,mabel,4.3M,522K
nursesavyrose,nursesavyrose,180.2K,22.5K
American Red Cross,americanredcross,1.5M,129.7K
Alesso,alesso,1.9M,260.9K
UNICEF India,unicefindia,6.5M,721.3K
Romeo Beckham,romeob7,1.5M,329.7K
moggy,gransworld,1.9M,142.4K
Pawsome Pets,pawsomepets,1.6M,80.1K
Stevey,steveyyy,1.2M,31.1K
Tinie,tinietempah,384.5K,257K
Tom Daley,tomdaley,1.9M,279.9K
British Red Cross,britishredcross,6M,377.2K
Doctor Julie Smith,drjuliesmith,7.3M,786.2K
Robyn,robynkonichiwa,373.3K,70.2K
OurFire,ourfire,222.8M,5.8M
Kunal Kemmu,kunalkemmu,2.1M,876K
Sara Ali Khan,saraalikhan,355.1K,94.2K
Michelle Elman,scarrednotscared,3.1M,126K
Evan Whiston,evsoddart,507.5K,35.1K
MyGov India,mygovindia,5.3M,761.2K
Les boys tv,lesboystv,5.7M,460K
Harrison Leigh,harrisonleighx,5,13
sarah,shreksdumpster,68.8M,2M
ANNEMARIE,annemarieiam,13.8M,2.6M
Kartik Aaryan,kartiktokaaryan,16.4M,2.6M
cosette,cosette,36.3M,2.1M
World Health Organization WHO,who,7.4M,2.2M
,thaimoph,244.2K,43.5K
Ellis_Atlantis,ellis_atlantis,3.1M,206.4K
Maisie Smith,maisielousmith,13.5M,1.3M
Scout and Suki,scout2015,36.1M,2.2M
Megan Mc Nulty Cross,meganmcnultycross,22.6K,1210
Harvey,hrvy,52.4M,3.5M
